ID,Question,Option1,Option2,Option3,Option4,Option5,Correct,Active
43,Семиотика - это...,"наличие	информации,	которая",воспроизведение новых знаний,учение о формах построения,стратегия достижения цели,план проведения научного,1,TRUE
44,План-проспект -,это документ об основных,научный документ,это документ об основных,это документ о принципах,конспект научной работы,1,TRUE
45,Аннотация ―,это краткая характеристика,это краткая характеристика,это документ об основных,научный документ,рецензия на статью,1,TRUE
46,Приложения представляют собой,"имеющую дополнительное значение,",размещаются в начале издания.,размечаются в конце каждой главы.,имеющую основное значение.,это содержание основного текста в,1,TRUE
47,Предметный указатель содержит,перечень основных тематических,перечень авторов,список основных тематических,список авторов,список литературных источников,1,TRUE
48,Для научного текста характерны,"смысловая законченность,",целостность и связность,краткость,смысловая законченность,наличие жаргонизмов,1,TRUE
49,В научной работе речь чаще всего,"от третьего лица (""автор",первого лица,от нейтрального лица,второго лица единственного числа,ответы б) и г) вместе,1,TRUE
50,Автор диссертации выступает,во множественном числе и вместо,от нейтрального лица,в единственном лице,во втором лице единственного,ответы б) и г) вместе,1,TRUE
51,Важное качество для автора,"ясность, умение писать доступно и",умение писать каллиграфически,умение писать левой рукой.,ясность.,документальность,1,TRUE
52,Необходимое требование к,умение объемно отражать детали и,умение использовать повторы.,"краткость, умение избегать",умение максимально использовать,художественный замысел,1,TRUE
53,Итоговая работа для бакалавра ―,это выпускная квалификационная,это учебная  работа.,это научный труд.,это методический труд.,это диссертация,1,TRUE
54,Выпускная квалификационная,это магистерская диссертация.,это научный труд.,это методический труд.,это дипломная работа.,монография,1,TRUE
55,Текстовые выделения ―,"это буквы, знаки, слова,","это знаки, слова, предложения с",это знаки препинания.,это буквы латинского алфавита.,это цифры,1,TRUE
56,Цитируемый текст должен точно,источнику с обязательной ссылкой,задачам методической работы.,задачам научной работы.,содержанию научной работы,плану научной работы,1,TRUE
57,Таблица ―,организованный в вертикальные,часть научного труда.,метод изложения научного,методика изложения методического,принцип наглядности,1,TRUE
58,Каким должен быть иллюстративный,он должен быть органически связан,он должен быть максимально,он должен быть обширным и,он должен отсутствовать в научном,ответы б) и в) вместе,1,TRUE
59,График (от греч. graphikos ―,"чертеж, применяемый для",это разноцветный чертеж.,это геометрическое изображение,это часть научного труда.,это вводная часть диссертации,1,TRUE
60,"Диаграмма (от гр. diagramma ― рисунок,","чертеж,	наглядно 	показывающий",это основная часть научного,это чертеж плана научной работы,это графическое изображение,ответы в) и г) вместе.,1,TRUE
61,Схема ―,"это иллюстрация, с помощью","это чертеж, отражающий план",это вводная часть научного труда.,это иллюстрация цитирования.,это план-конспект,1,TRUE
62,Библиографическое описание,сведения о произведении печати,это заключительная часть,это краткое представление о,это сведения об авторах.,это аннотация,1,TRUE
63,Библиографический список,библиографическое описание,практические рекомендации,аннотированное описание.,методические замечания.,список авторов научной работы,1,TRUE
64,В дипломных работах в,"только те источники, на которые",любые источники по теме научной,публикации автора диссертации.,только публикации авторитетных,только публикации научного,1,TRUE
65,Подпись к иллюстрации:,"это текст под иллюстрацией,",это краткое резюме.,это часть научного труда.,это аннотация.,роспись автора,1,TRUE
66,Выделения в тексте служат для,чтобы разграничить части и,чтобы обратили внимание на,чтобы улучшить качество работы.,для облегчения конспектирования,,1,TRUE
67,Основной структурный элемент,"предметная рубрика,",заключение.,терминологический словарь.,список авторов.,библиографический список,1,TRUE
68,Произведения защищены авторским,которое является собственностью,которое является частью,которое зачищено законом,которое не облагается налогом,которое имеет спрос у читателей,1,TRUE
69,Использование произведений,"путем опубликования, для научных",изданием учебников,изданием книг.,изданием пособий и журналов,для изучения,1,TRUE
70,Соавторство,это создание произведения,совместная деятельность,совместное творчество,совместная работа,общая тема исследования,1,TRUE
71,Рецензия (от лат. recensio -,"критический разбор и оценка,",выводы,обобщение,заключение,аннотация,1,TRUE
72,Фундаментальные исследования,на создание теории обучения и,на разработку практических,на обобщение научных результатов,на создание теории обучения и,на создание  научной гипотезы,1,TRUE
73,Прикладные исследования решают,"связанные с практикой, их",связанные с научными открытиями.,связанные с научными,связанные с теорией,связанные с решением неотложных,1,TRUE
74,Разработки содержат,конечные результаты исследований,выводы,практические рекомендации,теоретические обобщения.,обобщенные гипотезы,1,TRUE
75,Стихийно-эмпирическое знание,"первично, существует давно и",содержит теоретические вопросы,вторично,нейтрально,содержат практические,1,TRUE
76,"Научное познание отличается тем,","в науке осуществляют не все, а","в науке осуществляют не все, а","в науке осуществляют не все, а","в науке осуществляют не все, а","в науке осуществляют не все, а",1,TRUE
77,Проблема указывает,на неизвестное и побуждает к его,на необходимость ее преодоления в,на неизвестное.,на определенные трудности в,на отсутствие решения,1,TRUE
78,Обоснование проблемы,предполагает поиск аргументов в,предполагает поиск методов.,предполагает поиск аргументов в,связано с научной деятельностью.,отсутствие результатов,1,TRUE
79,В формулировке темы,должны просматриваться,должна просматриваться,должна просматриваться научная,должна просматриваться,должно быть обоснование проблемы,1,TRUE
80,Объект исследования –,"это явление или процесс,","это процесс, избранный для",это явление,"это явление, избранный для",это  проблемный вопрос,1,TRUE
81,Предмет исследования -,"это то, что находится в границах",это явление окружающей,это научное определение.,"это то, на что направлено",это научный взгляд на проблему,1,TRUE
82,Неправильный выбор объекта или,может привести к ошибкам,может привести к неправильным,может привести к практическим,может привести к теоретическим,приводит к отсутствию результата,1,TRUE
83,Цель исследования -,"представление о результате, то,",конечный результат,направление научной работы,улучшение здоровья населения,в исследовательской,1,TRUE
84,Цель и задачи исследования,"позволяют определить логику,",улучшение здоровья населения,позволяют определить основные,позволяют определить логику,являются главой научной работы,1,TRUE
85,"Гипотеза (от гр. hipothesis - основание,","научное предположение, требующее",теоретическое заключение,научное решение,практическое обобщение,введение,1,TRUE
86,При завершении научной и,какое новое знание получено и,выводы.,заключение,какое новое знание получено,список использованных источников,1,TRUE
87,Соискателю предоставляется,обычно в пределах 20 мин,обычно в пределах 8 мин,обычно в пределах 10 мин,обычно в пределах 40 мин,обычно в пределах 50 мин,1,TRUE
88,Процедура защиты дипломных работ,выставлением оценки.,выводами,голосованием.,подведением итогов.,аппеляцией,1,TRUE
89,В вузе одной из обязательных форм,практика,полевые занятия,практические занятия,лабораторные занятия,стажировка,1,TRUE
90,Научные издания:,"монографии, статьи в","монографии, статьи в","сборники научных трудов,",научно-практических конференций;,энциклопедии,1,TRUE
91,Акты внедрения:,свидетельство эффективности,апробация научных результатов в,"документ, который выдается после",выдается после апробации в,это результат научной работы,1,TRUE
92,Значение научной работы для,как основание для проведения,как основание для обоснования,как основание для выбора темы,как основание для выбора проблемы,как основание для определения,1,TRUE
93,При оценке новизны используются,вид результата; уровень новизны,вид результата,уровень новизны результата.,содержательное изложение,обсуждение,1,TRUE
94,Обоснованное представление об,Задачи исследования,Цель исследования,Гипотеза исследования,Тема исследования,обзор литературы,1,TRUE
95,Не входит в общий объем,приложение,титульный лист,введение,содержание,иллюстрации и таблицы,1,TRUE
96,Познание - это:,"способность воспринимать,","способность человека рассуждать,",исторический процесс,"степень сознательности,",особенности восприятия проблемы,1,TRUE
97,Логика- это:,наука о сущности познания,наука о противоречии познания,учение о бытии,учение о познании,наука о жизни,1,TRUE
98,Гносеология - это:,учение о познании,учение о бытии,учение о душе,учение о боге.,учение о космосе,1,TRUE
99,Умышленно совершаемое,плагиат,авторское право,диссертация,автореферат,авторская ссылка,1,TRUE
100,"Институт гражданского права,",авторское право,плагиат,институт интеллектуальной,патент,авторская ссылка,1,TRUE
101,Процедура рассмотрения научных,рецензирование,реферирование,аннотация,отзыв,ответы б) и г) вместе,1,TRUE
102,"Система регулятивных принципов,",научный метод,научный способ,научный принцип,научный подход,научный прием,1,TRUE
103,Эмпирические исследования – это:,"ответы б), в), г) и д) вместе",наблюдение и исследование,"эксперименты,","обобщение, классификация",описание результатов,1,TRUE
104,"Литературный жанр, прозаическое",эссе,рассказ,доклад,реферат,статья,1,TRUE
105,"Исследования, при которых",теоретические исследования,эмпирические исследования,эксперименты,"обобщение, классификация",описание результатов,1,TRUE
106,Безвозмездная субсидия,Грант,премия,награда,беспроцентная ссуда,кредит,1,TRUE
107,Начальная часть или глава,Введение,выводы,заключение,результаты,обсуждение,1,TRUE
108,"Заключение, сформулированное по",выводы,введение,приложение,результаты,обсуждение,1,TRUE
109,"Часть введения, отражающая",Актуальность темы,проблема исследования,цели и задачи исследования,материалы и методы,выводы,1,TRUE
110,"Содержание, выстроенное логично",план научного произведения,основная часть научной работы,содержание диссертации с,перспективный план научной,стратегический план научной,1,TRUE
111,В какой части дипломной работы,"после введения,",после основной части,перед выводами,в приложении,в разделе «Список использованных,1,TRUE
112,"Набор слов, отражающих",ключевые слова,терминологический словарь,предметный указатель,обозначения и сокращения,определения,1,TRUE
113,Рекомендуемое количество,5-7,15-20,2-3,120,не менее 60,1,TRUE
114,Оглавление и содержание ―,обязательные элементы,разделы научной работы.,разделы книги.,разделы методической работы.,составные части титульного листа,1,TRUE
115,Резюме (от франц. resumer ― излагать,"это краткое, в виде выводов,",это заключение,это практические рекомендации.,это выводы.,это аннотация на статью,1,TRUE
116,Какой метод исследования,наблюдение,сравнение;,анализ;,синтез;,классификация.,1,TRUE
117,. Как называется упорядоченный,вариационный ряд;,весы вариант;,частоты вариант;,объем вариант;,все ответы верны.,1,TRUE
118,Абзац представляет собой,отступ вправо в начале первой,отступ влево в начале первой,отступ вверху.,отступ внизу.,начало каждой главы,1,TRUE
119,Какие биологические признаки,"длина колосьев, число зерен в",цвет радужной оболочки глаз;,состояние здоровья населения;,запах цветов;,вкус и прозрачность воды.,1,TRUE
120,Важное качество для автора,"ясность, умение писать доступно и",умение писать каллиграфически,умение писать левой рукой.,ясность.,документальность,1,TRUE
